Fecha,Hora,Pronosticada,Minera,Variable,Estacion,OBS-PRO,uuid
01/05/2024,11,8.0,Enami,SO2,Paipote,Pronosticada,5394e5c5-6449-5a5b-b9e8-a9cd50b60f84
01/05/2024,12,5.1,Enami,SO2,Paipote,Pronosticada,82dc5a99-8ab8-5699-b56e-59e5feb7d447
01/05/2024,13,5.6,Enami,SO2,Paipote,Pronosticada,fcddcdd7-9164-50a6-a0b2-318fb0479c3a
01/05/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,a32ed6cd-9313-572e-b2e7-11bfe48a257c
01/05/2024,15,5.1,Enami,SO2,Paipote,Pronosticada,836fdea7-dd11-5b59-81e5-ace634f1f0ad
01/05/2024,16,6.4,Enami,SO2,Paipote,Pronosticada,0ef5111c-7b18-580f-a97f-71c8c9024563
01/05/2024,17,4.8,Enami,SO2,Paipote,Pronosticada,1a58cc2b-f1ea-5d74-bd92-19eb0d4e7453
01/05/2024,18,4.7,Enami,SO2,Paipote,Pronosticada,d0b5a9bc-d417-56c3-966b-b412cc308ae1
01/05/2024,19,3.1,Enami,SO2,Paipote,Pronosticada,a58cf6cf-508a-561a-a313-f7fd814065e2
01/05/2024,20,4.4,Enami,SO2,Paipote,Pronosticada,dbcbee78-32d9-5a46-b6b5-9e19caa22cd0
01/05/2024,21,5.6,Enami,SO2,Paipote,Pronosticada,6a8fd4f5-effe-5bf1-8ae9-63b6bb68f028
01/05/2024,22,7.6,Enami,SO2,Paipote,Pronosticada,82d39e9b-adc4-5d38-9ac1-d6b966474ee7
01/05/2024,23,6.1,Enami,SO2,Paipote,Pronosticada,3c582259-11bc-5588-a071-688c8dcb32c0
01/06/2024,0,6.7,Enami,SO2,Paipote,Pronosticada,5e127660-436a-5ddf-b822-2df0393f2276
01/06/2024,1,5.6,Enami,SO2,Paipote,Pronosticada,56b776c9-b268-5c75-aa13-c3fcf062bbd2
01/06/2024,2,40.8,Enami,SO2,Paipote,Pronosticada,c539e55e-1ce9-55fe-8f59-e6c33b3ac7d1
01/06/2024,3,2.8,Enami,SO2,Paipote,Pronosticada,2158c12b-7f69-5b03-993c-0917e307f1bc
01/06/2024,4,6.2,Enami,SO2,Paipote,Pronosticada,ccdaa7de-7133-51fa-bb80-b5ed012b5361
01/06/2024,5,6.5,Enami,SO2,Paipote,Pronosticada,46e390c1-c73f-560c-9e81-115857a65de4
01/06/2024,6,6.3,Enami,SO2,Paipote,Pronosticada,9767bf6b-9c7b-52bc-b1f1-479fa3f98935
01/06/2024,7,4.2,Enami,SO2,Paipote,Pronosticada,d1e69177-b36f-5069-8d4c-dc63666f649f
01/06/2024,8,7.9,Enami,SO2,Paipote,Pronosticada,3969d30c-d1e5-52f2-be67-2cba49400bb2
01/06/2024,9,42.2,Enami,SO2,Paipote,Pronosticada,31480539-d05b-5de8-b220-de6419c288ce
