Fecha,Hora,Pronosticada,Minera,Variable,Estacion
05/14/2023,16,66.6,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,17,39.4,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,18,62.8,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,19,38.3,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,20,63.4,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,21,47.0,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,22,29.6,Sierra Gorda,MP10,Sierra Gorda
05/14/2023,23,44.7,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,0,28.5,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,1,26.6,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,2,41.2,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,3,33.5,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,4,38.4,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,5,56.4,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,6,35.4,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,7,172.3,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,8,64.9,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,9,77.3,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,10,43.0,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,11,52.2,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,12,41.2,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,13,36.8,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,14,29.3,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,16,23.1,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,17,50.7,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,18,62.8,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,19,42.6,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,20,63.4,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,21,98.7,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,22,21.2,Sierra Gorda,MP10,Sierra Gorda
05/15/2023,23,38.4,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,0,49.4,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,1,50.3,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,2,23.8,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,3,21.7,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,4,21.8,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,5,22.9,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,6,62.0,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,7,110.4,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,8,80.0,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,9,97.5,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,10,43.0,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,11,52.2,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,12,32.3,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,13,30.1,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,14,17.7,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,15,34.8,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,16,25.2,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,17,33.5,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,18,62.8,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,19,44.9,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,20,47.2,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,21,98.7,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,22,62.2,Sierra Gorda,MP10,Sierra Gorda
05/16/2023,23,41.0,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,0,43.0,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,1,21.4,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,2,27.3,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,3,23.3,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,4,53.4,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,5,27.4,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,6,53.4,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,7,79.2,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,8,84.0,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,9,72.6,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,10,97.8,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,11,44.5,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,12,86.7,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,13,30.1,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,14,17.7,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,16,23.1,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,17,27.7,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,18,27.0,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,19,42.6,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,20,60.6,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,21,79.8,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,22,41.2,Sierra Gorda,MP10,Sierra Gorda
05/17/2023,23,49.4,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,0,33.5,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,1,47.6,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,2,20.6,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,3,15.2,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,4,36.9,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,5,29.0,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,6,32.3,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,7,58.2,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,8,64.9,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,9,72.6,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,10,74.4,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,11,87.6,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,12,37.5,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,13,36.8,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,14,31.4,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,15,27.3,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,16,42.8,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,17,66.0,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,18,17.7,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,19,38.3,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,20,47.2,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,21,26.2,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,22,59.5,Sierra Gorda,MP10,Sierra Gorda
05/18/2023,23,33.8,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,0,33.5,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,1,47.4,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,2,9.0,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,3,41.7,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,4,26.0,Sierra Gorda,MP10,Sierra Gorda
05/19/2023,5,30.2,Sierra Gorda,MP10,Sierra Gorda
