Fecha,Hora,Observada,Minera,Variable,Estacion,OBS-PRO,uuid
01/06/2024,5,0.7,Enami,Velocidad del Viento,Paipote,Observada,46e390c1-c73f-560c-9e81-115857a65de4
01/06/2024,6,0.9,Enami,Velocidad del Viento,Paipote,Observada,9767bf6b-9c7b-52bc-b1f1-479fa3f98935
01/06/2024,7,2.2,Enami,Velocidad del Viento,Paipote,Observada,d1e69177-b36f-5069-8d4c-dc63666f649f
01/06/2024,8,2.8,Enami,Velocidad del Viento,Paipote,Observada,3969d30c-d1e5-52f2-be67-2cba49400bb2
01/06/2024,9,3.6,Enami,Velocidad del Viento,Paipote,Observada,31480539-d05b-5de8-b220-de6419c288ce
01/06/2024,10,3.1,Enami,Velocidad del Viento,Paipote,Observada,cbbda797-f254-53e0-bbd1-04e072f93b39
01/06/2024,11,3.4,Enami,Velocidad del Viento,Paipote,Observada,74873ebe-3354-558b-95a2-b392394c3eb5
01/06/2024,12,3.6,Enami,Velocidad del Viento,Paipote,Observada,7150fe2a-b128-5118-990e-a89a2e8c2501
01/06/2024,13,4.1,Enami,Velocidad del Viento,Paipote,Observada,c19eb7be-3811-5391-a188-27c1d66c2b01
01/06/2024,14,4.5,Enami,Velocidad del Viento,Paipote,Observada,71ec8e35-8a23-536a-bb2f-0f8b47388c89
01/06/2024,15,4.8,Enami,Velocidad del Viento,Paipote,Observada,0adb82c6-1101-52d2-a6b0-fc48f0710db5
01/06/2024,16,5.0,Enami,Velocidad del Viento,Paipote,Observada,c2f59981-1934-51d6-ae4c-d3c55ae568a6
