"Fecha","Hora","MP10 (µg/m³N)"
"21/11/2023","19","12.5"
"21/11/2023","20","39.0"
"21/11/2023","21","26.2"
"21/11/2023","22","46.6"
"21/11/2023","23","33.9"
"22/11/2023","0","98.5"
"22/11/2023","1","314.2"
"22/11/2023","2","229.1"
"22/11/2023","3","133.8"
"22/11/2023","4","142.0"
"22/11/2023","5","160.2"
"22/11/2023","6","374.6"
"22/11/2023","7","173.2"
"22/11/2023","8","358.9"
"22/11/2023","9","236.6"
"22/11/2023","10","191.6"
"22/11/2023","11","60.7"
"22/11/2023","12","30.2"
"22/11/2023","13","27.8"
"22/11/2023","14","49.3"
"22/11/2023","15","266.1"
"22/11/2023","16","365.5"
"22/11/2023","17","59.0"
"22/11/2023","18","242.4"
"22/11/2023","19","25.4"
"22/11/2023","20","147.4"
"22/11/2023","21","26.2"
"22/11/2023","22","58.4"
"22/11/2023","23","220.6"
"23/11/2023","0","165.0"
"23/11/2023","1","167.3"
"23/11/2023","2","36.2"
"23/11/2023","3","193.8"
"23/11/2023","4","160.8"
"23/11/2023","5","160.2"
"23/11/2023","6","150.6"
"23/11/2023","7","274.2"
"23/11/2023","8","358.9"
"23/11/2023","9","92.4"
"23/11/2023","10","191.6"
"23/11/2023","11","60.7"
"23/11/2023","12","30.2"
"23/11/2023","13","40.4"
"23/11/2023","14","290.6"
"23/11/2023","15","266.1"
"23/11/2023","16","365.5"
"23/11/2023","17","59.0"
"23/11/2023","18","242.4"
"23/11/2023","19","12.5"
"23/11/2023","20","147.4"
"23/11/2023","21","26.2"
"23/11/2023","22","88.6"
"23/11/2023","23","80.2"
"24/11/2023","0","98.5"
"24/11/2023","1","255.0"
"24/11/2023","2","229.1"
"24/11/2023","3","193.8"
"24/11/2023","4","142.0"
"24/11/2023","5","160.2"
"24/11/2023","6","374.6"
"24/11/2023","7","274.2"
"24/11/2023","8","431.0"
"24/11/2023","9","333.3"
"24/11/2023","10","191.6"
"24/11/2023","11","51.0"
"24/11/2023","12","46.3"
"24/11/2023","13","53.4"
"24/11/2023","14","103.5"
"24/11/2023","15","266.1"
"24/11/2023","16","365.5"
"24/11/2023","17","59.0"
"24/11/2023","18","242.4"
"24/11/2023","19","25.4"
"24/11/2023","20","20.7"
"24/11/2023","21","26.2"
"24/11/2023","22","46.6"
"24/11/2023","23","220.6"
"25/11/2023","0","134.2"
"25/11/2023","1","167.3"
"25/11/2023","2","139.6"
"25/11/2023","3","93.6"
"25/11/2023","4","142.0"
"25/11/2023","5","123.6"
"25/11/2023","6","374.6"
"25/11/2023","7","276.3"
"25/11/2023","8","335.0"
"25/11/2023","9","333.3"
"25/11/2023","10","191.6"
"25/11/2023","11","51.0"
"25/11/2023","12","30.2"
"25/11/2023","13","53.4"
"25/11/2023","14","103.5"
"25/11/2023","15","266.1"
"25/11/2023","16","425.5"
"25/11/2023","17","59.0"
"25/11/2023","18","242.4"
"25/11/2023","19","25.4"
"25/11/2023","20","39.0"
"25/11/2023","21","26.2"
"25/11/2023","22","46.6"
"25/11/2023","23","80.2"
"26/11/2023","0","98.5"
"26/11/2023","1","459.7"
"26/11/2023","2","191.8"
