"Fecha","Hora","MP10 (µg/m³N)"
"29/11/2023","16","77.0"
"29/11/2023","17","41.3"
"29/11/2023","18","169.7"
"29/11/2023","19","42.5"
"29/11/2023","20","49.1"
"29/11/2023","21","97.8"
"29/11/2023","22","87.6"
"29/11/2023","23","229.8"
"30/11/2023","0","201.3"
"30/11/2023","1","130.5"
"30/11/2023","2","295.3"
"30/11/2023","3","136.3"
"30/11/2023","4","213.0"
"30/11/2023","5","185.4"
"30/11/2023","6","561.8"
"30/11/2023","7","344.7"
"30/11/2023","8","296.6"
"30/11/2023","9","500.0"
"30/11/2023","10","287.4"
"30/11/2023","11","67.9"
"30/11/2023","12","82.5"
"30/11/2023","13","37.4"
"30/11/2023","14","72.4"
"30/11/2023","15","186.3"
"30/11/2023","16","255.8"
"30/11/2023","17","41.3"
"30/11/2023","18","169.7"
"30/11/2023","19","53.8"
"30/11/2023","20","15.3"
"30/11/2023","21","97.8"
"30/11/2023","22","69.9"
"30/11/2023","23","597.4"
"01/12/2023","0","201.3"
"01/12/2023","1","689.6"
"01/12/2023","2","295.3"
"01/12/2023","3","522.6"
"01/12/2023","4","231.9"
"01/12/2023","5","295.8"
"01/12/2023","6","96.9"
"01/12/2023","7","464.6"
"01/12/2023","8","502.5"
"01/12/2023","9","138.6"
"01/12/2023","10","287.4"
"01/12/2023","11","67.9"
"01/12/2023","12","32.4"
