"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"13/11/2023","14",""
"13/11/2023","15","1.0"
"13/11/2023","16","1001.0"
"13/11/2023","17","254.5"
"13/11/2023","18","354.4"
"13/11/2023","19","44.1"
"13/11/2023","20","21.8"
"13/11/2023","21","30.3"
"13/11/2023","22","28.6"
"13/11/2023","23","30.5"
"14/11/2023","0","76.5"
"14/11/2023","1","38.1"
"14/11/2023","2","66.0"
"14/11/2023","3","57.9"
"14/11/2023","4","137.0"
"14/11/2023","5","96.3"
"14/11/2023","6","70.0"
"14/11/2023","7","270.3"
"14/11/2023","8","319.0"
"14/11/2023","9","504.6"
"14/11/2023","10","136.5"
"14/11/2023","11","116.7"
"14/11/2023","12","85.9"
"14/11/2023","13","71.2"
"14/11/2023","14","57.7"
"14/11/2023","15","276.9"
"14/11/2023","16","55.2"
"14/11/2023","17","74.4"
"14/11/2023","18","92.9"
"14/11/2023","19","78.7"
"14/11/2023","20","24.2"
"14/11/2023","21","25.9"
"14/11/2023","22","33.9"
"14/11/2023","23","26.4"
"15/11/2023","0","49.6"
"15/11/2023","1","19.1"
"15/11/2023","2","30.3"
"15/11/2023","3","53.3"
"15/11/2023","4","109.1"
"15/11/2023","5","60.9"
"15/11/2023","6","49.4"
"15/11/2023","7","84.4"
"15/11/2023","8","132.3"
"15/11/2023","9","210.9"
"15/11/2023","10","91.2"
"15/11/2023","11","28.1"
"15/11/2023","12","105.1"
"15/11/2023","13","86.3"
"15/11/2023","14","82.4"
"15/11/2023","15","62.6"
"15/11/2023","16","52.5"
"15/11/2023","17","68.3"
"15/11/2023","18","53.0"
"15/11/2023","19","53.0"
"15/11/2023","20","31.3"
"15/11/2023","21","11.4"
"15/11/2023","22","21.0"
"15/11/2023","23","30.5"
"16/11/2023","0","19.3"
"16/11/2023","1","66.6"
"16/11/2023","2","99.0"
"16/11/2023","3","60.9"
"16/11/2023","4","68.3"
"16/11/2023","5","19.4"
"16/11/2023","6","45.9"
"16/11/2023","7","58.2"
"16/11/2023","8","170.1"
"16/11/2023","9","66.0"
"16/11/2023","10","67.0"
"16/11/2023","11","123.0"
"16/11/2023","12","86.1"
"16/11/2023","13","93.6"
"16/11/2023","14","116.5"
"16/11/2023","15","119.8"
"16/11/2023","16","70.5"
"16/11/2023","17","104.6"
"16/11/2023","18","79.2"
"16/11/2023","19","85.8"
"16/11/2023","20","30.3"
"16/11/2023","21","73.9"
"16/11/2023","22","56.7"
"16/11/2023","23","43.9"
"17/11/2023","0","109.6"
"17/11/2023","1","69.5"
"17/11/2023","2","92.4"
"17/11/2023","3","25.7"
"17/11/2023","4","33.2"
"17/11/2023","5","51.8"
"17/11/2023","6","80.0"
"17/11/2023","7","135.5"
"17/11/2023","8","214.0"
"17/11/2023","9","128.3"
"17/11/2023","10","90.4"
"17/11/2023","11","113.0"
"17/11/2023","12","119.1"
"17/11/2023","13","103.3"
"17/11/2023","14","145.8"
"17/11/2023","15","199.4"
"17/11/2023","16","57.0"
"17/11/2023","17","53.0"
"17/11/2023","18","63.1"
"17/11/2023","19","197.7"
"17/11/2023","20","47.9"
"17/11/2023","21","61.9"
"17/11/2023","22","43.9"
"17/11/2023","23","46.4"
"18/11/2023","0","34.0"
"18/11/2023","1","32.5"
"18/11/2023","2","45.4"
"18/11/2023","3","54.7"
"18/11/2023","4","45.9"
"18/11/2023","5","35.2"
"18/11/2023","6","70.3"
"18/11/2023","7","193.8"
"18/11/2023","8","279.3"
"18/11/2023","9","109.8"
"18/11/2023","10","29.0"
"18/11/2023","11","32.3"
"18/11/2023","12","131.1"
"18/11/2023","13","87.3"
"18/11/2023","14","100.9"
"18/11/2023","15","80.7"
"18/11/2023","16","34.7"
"18/11/2023","17","173.3"
"18/11/2023","18","78.2"
"18/11/2023","19","42.7"
"18/11/2023","20","51.0"
"18/11/2023","21","45.4"
"18/11/2023","22","62.6"
"18/11/2023","23","69.7"
"19/11/2023","0","45.7"
"19/11/2023","1","67.3"
"19/11/2023","2","64.8"
"19/11/2023","3","36.8"
"19/11/2023","4","31.3"
"19/11/2023","5","84.1"
"19/11/2023","6","89.2"
"19/11/2023","7","270.8"
"19/11/2023","8","178.5"
"19/11/2023","9","74.8"
"19/11/2023","10","40.0"
"19/11/2023","11","94.6"
"19/11/2023","12","120.3"
"19/11/2023","13","102.8"
"19/11/2023","14","30.5"
"19/11/2023","15","34.4"
"19/11/2023","16","23.4"
"19/11/2023","17","347.0"
"19/11/2023","18","98.7"
"19/11/2023","19","45.6"
"19/11/2023","20","56.4"
"19/11/2023","21","60.7"
"19/11/2023","22","61.2"
"19/11/2023","23","97.8"
"20/11/2023","0","50.3"
"20/11/2023","1","78.5"
"20/11/2023","2","28.1"
"20/11/2023","3","55.3"
"20/11/2023","4","53.7"
"20/11/2023","5","49.3"
"20/11/2023","6","77.0"
"20/11/2023","7","166.4"
"20/11/2023","8","155.9"
"20/11/2023","9","114.0"
"20/11/2023","10","77.8"
"20/11/2023","11","185.2"
"20/11/2023","12","140.7"
"20/11/2023","13","73.4"
"20/11/2023","14","59.7"
"20/11/2023","15","65.3"
"20/11/2023","16","54.7"
"20/11/2023","17","133.3"
"20/11/2023","18","111.6"
"20/11/2023","19","54.0"
"20/11/2023","20","23.7"
"20/11/2023","21","50.5"
"20/11/2023","22","73.6"
"20/11/2023","23","55.5"
"21/11/2023","0","87.5"
"21/11/2023","1","42.7"
